"Order","Family","Genus","Species","Cycle","SocialGrpSize","TrophicLevel"
"Artiodactyla","Bovidae","Damaliscus","Damaliscus lunatus","Crepuscular",3.6,"Herbivore"
"Primates","Lemuridae","Eulemur","Eulemur coronatus","Crepuscular",6.95,"Omnivore"
"Primates","Lemuridae","Eulemur","Eulemur fulvus","Crepuscular",9.2,"Herbivore"
"Primates","Lemuridae","Eulemur","Eulemur macaco","Crepuscular",9.2,"Omnivore"
"Primates","Lemuridae","Eulemur","Eulemur mongoz","Crepuscular",2.7,"Omnivore"
"Primates","Lemuridae","Eulemur","Eulemur rubriventer","Crepuscular",3.3,"Omnivore"
"Xenarthra","Dasypodidae","Dasypus","Dasypus kappleri","Crepuscular",1,"Omnivore"
"Xenarthra","Dasypodidae","Dasypus","Dasypus novemcinctus","Crepuscular",1,"Omnivore"
"Hyracoidea","Procaviidae","Dendrohyrax","Dendrohyrax arboreus","Nocturnal",1,"Herbivore"
"Hyracoidea","Procaviidae","Dendrohyrax","Dendrohyrax dorsalis","Nocturnal",1,"Herbivore"
"Diprotodontia","Macropodidae","Dendrolagus","Dendrolagus dorianus","Crepuscular",2,"Omnivore"
"Didelphimorphia","Didelphidae","Didelphis","Didelphis marsupialis","Nocturnal",1,"Omnivore"
"Didelphimorphia","Didelphidae","Didelphis","Didelphis virginiana","Nocturnal",1,"Omnivore"
"Rodentia","Echimyidae","Diplomys","Diplomys caniceps","Nocturnal",1,"Herbivore"
"Rodentia","Echimyidae","Diplomys","Diplomys labilis","Nocturnal",1,"Herbivore"
"Rodentia","Echimyidae","Diplomys","Diplomys rufodorsalis","Nocturnal",1,"Herbivore"
"Rodentia","Heteromyidae","Dipodomys","Dipodomys heermanni","Nocturnal",1,"Omnivore"
"Rodentia","Heteromyidae","Dipodomys","Dipodomys nitratoides","Nocturnal",1,"Herbivore"
"Artiodactyla","Bovidae","Dorcatragus","Dorcatragus megalotis","Diurnal",7,"Herbivore"
"Diprotodontia","Macropodidae","Dorcopsis","Dorcopsis hageni","Diurnal",1,"Omnivore"
"Diprotodontia","Macropodidae","Dorcopsis","Dorcopsis luctuosa","Crepuscular",1,"Herbivore"
"Diprotodontia","Macropodidae","Dorcopsulus","Dorcopsulus macleayi","Nocturnal",1,"Herbivore"
"Diprotodontia","Macropodidae","Dorcopsulus","Dorcopsulus vanheurni","Crepuscular",1,"Herbivore"
"Rodentia","Echimyidae","Echimys","Echimys chrysurus","Nocturnal",1,"Herbivore"
"Macroscelidea","Macroscelididae","Elephantulus","Elephantulus brachyrhynchus","Crepuscular",1,"Carnivore"
"Macroscelidea","Macroscelididae","Elephantulus","Elephantulus rufescens","Crepuscular",1,"Omnivore"
"Insectivora","Chrysochloridae","Eremitalpa","Eremitalpa granti","Nocturnal",1,"Omnivore"
"Rodentia","Erethizontidae","Erethizon","Erethizon dorsatum","Nocturnal",1,"Herbivore"
"Primates","Cercopithecidae","Erythrocebus","Erythrocebus patas","Diurnal",28,"Omnivore"
"Primates","Galagonidae","Euoticus","Euoticus elegantulus","Nocturnal",1,"Herbivore"
"Xenarthra","Dasypodidae","Euphractus","Euphractus sexcinctus","Crepuscular",1,"Omnivore"
"Primates","Galagonidae","Galago","Galago alleni","Nocturnal",6,"Herbivore"
"Primates","Galagonidae","Galago","Galago senegalensis","Nocturnal",3.5,"Omnivore"
"Primates","Galagonidae","Galagoides","Galagoides demidoff","Nocturnal",1,"Omnivore"
"Artiodactyla","Bovidae","Gazella","Gazella subgutturosa","Crepuscular",5.5,"Herbivore"
"Rodentia","Bathyergidae","Georychus","Georychus capensis","Diurnal",1,"Omnivore"
"Artiodactyla","Bovidae","Gazella","Gazella dama","Diurnal",1,"Herbivore"
"Artiodactyla","Bovidae","Gazella","Gazella dorcas","Crepuscular",6.75,"Omnivore"
"Artiodactyla","Bovidae","Gazella","Gazella gazella","Crepuscular",7.2,"Herbivore"
"Primates","Lemuridae","Hapalemur","Hapalemur aureus","Crepuscular",3,"Herbivore"
"Primates","Lemuridae","Hapalemur","Hapalemur griseus","Crepuscular",3.1,"Herbivore"
"Primates","Lemuridae","Hapalemur","Hapalemur simus","Crepuscular",7.5,"Omnivore"
"Rodentia","Bathyergidae","Heliophobius","Heliophobius argenteocinereus","Crepuscular",1,"Herbivore"
"Rodentia","Sciuridae","Heliosciurus","Heliosciurus mutabilis","Diurnal",2,"Omnivore"
"Primates","Hominidae","Gorilla","Gorilla gorilla","Diurnal",6,"Omnivore"
"Rodentia","Muridae","Hypogeomys","Hypogeomys antimena","Nocturnal",2,"Herbivore"
"Primates","Indridae","Indri","Indri indri","Diurnal",3.1,"Herbivore"
"Hyracoidea","Procaviidae","Heterohyrax","Heterohyrax brucei","Diurnal",17.5,"Herbivore"
